# Sourced from ../TarnishedTool/TarnishedTool/Properties/Resources.resx <data name="Weapons">.
# Format: id,name,wep_type,gem_mount_type,upgrade_type. id = EquipParamWeapon row ID.
# Runtime ID = id + upgrade_level (e.g. Longsword +25 = 2000025). Refresh on patch bumps.
13010000,Flail,24,2,0
3050000,Flamberge,5,2,0
31260000,Flame Crest Wooden Shield,67,2,0
11500000,Flowerstone Gavel,21,0,1
7060000,Flowing Curved Sword,9,2,0
3010000,Forked Greatsword,5,2,0
14010000,Forked Hatchet,17,2,0
14540000,Forked-Tongue Hatchet,17,0,0
34090000,Frenzied Flame Seal,61,0,1
61520000,Frenzyflame Perfume Bottle,89,2,0
8510000,Freyja's Greatsword,11,2,0
5050000,Frozen Needle,15,0,1
43060000,Full Moon Crossbow,55,0,1
15140000,Gargoyle's Black Axe,19,0,1
10090000,Gargoyle's Black Blades,14,0,1
18160000,Gargoyle's Black Halberd,29,0,1
3210000,Gargoyle's Blackblade,5,0,1
15130000,Gargoyle's Great Axe,19,2,0
3190000,Gargoyle's Greatsword,5,2,0
18150000,Gargoyle's Halberd,29,2,0
10080000,Gargoyle's Twinblade,14,2,0
23520000,Gazing Finger,41,0,1
33050000,Gelmir Glintstone Staff,57,2,0
23100000,Ghiza's Wheel,41,0,1
24050000,Ghostflame Torch,87,2,0
23110000,Giant-Crusher,41,2,0
20060000,Giant's Red Braid,39,0,1
34020000,Giant's Seal,61,0,0
32270000,Gilded Greatshield,69,2,0
30130000,Gilded Iron Shield,65,2,0
18090000,Glaive,29,2,0
1070000,Glintstone Kris,1,0,1
33000000,Glintstone Staff,57,2,0
10010000,Godskin Peeler,14,2,0
6010000,Godskin Stitcher,16,2,0
4070000,Godslayer's Greatsword,7,0,1
34010000,Godslayer's Seal,61,0,0
32090000,Golden Beast Crest Shield,69,2,0
2070000,Golden Epitaph,3,0,1
32260000,Golden Greatshield,69,2,0
18080000,Golden Halberd,29,0,1
31530000,Golden Lion Shield,67,0,1
3170000,Golden Order Greatsword,5,0,1
34060000,Golden Order Seal,61,0,1
21540000,Golem Fist,35,2,0
42010000,Golem Greatbow,53,0,1
23120000,Golem's Halberd,41,2,0
4100000,Grafted Blade Greatsword,7,0,1
21060000,Grafted Dragon,35,0,1
19010000,Grave Scythe,31,2,0
34030000,Gravel Stone Seal,61,0,0
23020000,Great Club,41,0,0
6020000,Great Épée,16,2,0
66500000,Great Katana,94,2,0
1090000,Great Knife,1,2,0
12060000,Great Mace,23,2,0
15020000,Great Omenkiller Cleaver,19,2,0
12180000,Great Stars,23,2,0
31140000,Great Turtle Shell,67,2,0
15000000,Greataxe,19,2,0
42040000,Greatbow,53,2,0
12010000,Greathorn Hammer,23,2,0
4000000,Greatsword,7,2,0
3510000,Greatsword of Damnation,5,0,1
4550000,Greatsword of Radahn (Light),7,0,1
4530000,Greatsword of Radahn (Lord),7,0,1
3550000,Greatsword of Solitude,5,0,1
7150000,Grossmesser,9,2,0
18110000,Guardian's Swordspear,29,2,0
18000000,Halberd,29,2,0
32280000,Haligtree Crest Greatshield,69,2,0
19020000,Halo Scythe,31,0,1
11080000,Hammer,21,2,0
14020000,Hand Axe,17,2,0
44000000,Hand Ballista,56,0,0
9020000,Hand of Malenia,13,0,1
40030000,Harp Bow,50,0,1
31270000,Hawk Crest Wooden Shield,67,2,0
31330000,Heater Shield,67,2,0
43030000,Heavy Crossbow,55,0,0
3130000,Helphen's Steeple,5,0,1
14100000,Highland Axe,17,2,0
22000000,Hookclaws,37,2,0
41020000,Horn Bow,51,2,0
8520000,Horned Warrior's Greatsword,11,0,1
7530000,Horned Warrior's Sword,9,0,1
31240000,Horse Crest Wooden Shield,67,2,0
20050000,Hoslow's Petal Whip,39,2,0
30140000,Ice Crest Shield,65,2,0
14080000,Icerind Hatchet,17,0,1
32140000,Icon Shield,69,0,1
42500000,Igon's Greatbow,53,2,0
16130000,Inquisitor's Girandole,25,0,1
2090000,Inseparable Sword,5,0,1
31320000,Inverted Hawk Heater Shield,67,2,0
32210000,Inverted Hawk Towershield,69,2,0
21070000,Iron Ball,35,2,0
14040000,Iron Cleaver,17,2,0
3020000,Iron Greatsword,5,2,0
30120000,Iron Roundshield,65,2,0
16150000,Iron Spear,25,2,0
1130000,Ivory Sickle,1,0,0
44010000,Jar Cannon,56,0,1
14030000,Jawbone Axe,17,2,0
32120000,Jellyfish Shield,69,0,1
21100000,Katar,35,2,0
31000000,Kite Shield,67,2,0
3040000,Knight's Greatsword,5,2,0
24510000,Lamenting Visage,87,0,1
17060000,Lance,28,2,0
12000000,Large Club,23,2,0
31230000,Large Leather Shield,67,2,0
2250000,Lazuli Glintstone Sword,3,0,1
67510000,Leda's Sword,93,0,1
43020000,Light Crossbow,55,0,0
61530000,Lightning Perfume Bottle,89,2,0
42000000,Lion Greatbow,53,0,1
3520000,Lizard Greatsword,5,2,0
41000000,Longbow,51,2,0
15050000,Longhaft Axe,19,2,0
2000000,Longsword,3,2,0
3030000,Lordsworn's Greatsword,5,2,0
32300000,Lordsworn's Shield,69,2,0
2040000,Lordsworn's Straight Sword,3,2,0
18100000,Loretta's War Sickle,29,0,1
18020000,Lucerne,29,2,0
33240000,Lusat's Glintstone Staff,57,0,1
11000000,Mace,21,2,0
21530000,Madding Hand,35,0,1
7050000,Magma Blade,9,0,1
20030000,Magma Whip Candlestick,39,0,1
8040000,Magma Wyrm's Scalesword,11,0,1
1500000,Main-gauche,1,2,0
4020000,Maliketh's Black Blade,7,0,1
32190000,Manor Towershield,69,2,0
30020000,Man-Serpent's Shield,65,2,0
7120000,Mantis Blade,9,2,0
3150000,Marais Executioner's Sword,5,0,1
11150000,Marika's Hammer,21,0,1
31010000,Marred Leather Shield,67,2,0
31020000,Marred Wooden Shield,67,2,0
33520000,Maternal Staff,57,2,0
31500000,Messmer Soldier Shield,67,2,0
14520000,Messmer Soldier's Axe,17,2,0
17510000,Messmer Soldier's Spear,28,2,0
9030000,Meteoric Ore Blade,13,0,1
33250000,Meteorite Staff,57,0,2
67500000,Milady,93,2,0
2200000,Miquellan Knight's Sword,3,0,1
40010000,Misbegotten Shortbow,50,2,0
1030000,Miséricorde,1,2,0
17010000,Mohgwyn's Sacred Spear,28,0,1
8070000,Monk's Flameblade,11,2,0
11090000,Monk's Flamemace,21,2,0
4540000,Moonrithyll's Knight Sword,7,0,1
9060000,Moonveil,13,0,1
8100000,Morgott's Cursed Sword,11,0,1
11050000,Morning Star,21,2,0
9010000,Nagakiba,13,2,0
24500000,Nanaya's Torch,87,0,1
13000000,Nightrider Flail,24,2,0
18050000,Nightrider Glaive,29,2,0
5060000,Noble's Estoc,15,2,0
2230000,Noble's Slender Sword,3,2,0
11120000,Nox Flowing Hammer,21,0,1
2080000,Nox Flowing Sword,9,0,1
19500000,Obsidian Lamina,31,0,1
8060000,Omen Cleaver,11,2,0
32150000,One-Eyed Shield,69,0,1
8010000,Onyx Lord's Greatsword,11,0,1
3060000,Ordovis's Greatsword,5,0,1
2060000,Ornamental Straight Sword,3,0,1
1020000,Parrying Dagger,1,2,0
16050000,Partisan,25,2,0
21510000,Pata,35,2,0
30010000,Perfumer's Shield,65,2,0
18010000,Pest's Glaive,29,2,0
12140000,Pickaxe,23,2,0
16070000,Pike,25,2,0
30040000,Pillory Shield,65,2,0
21520000,Poisoned Hand,35,0,1
18510000,Poleblade of the Bud,29,0,1
23000000,Prelate's Inferno Crozier,41,2,0
33180000,Prince of Death's Staff,57,2,0
41060000,Pulley Bow,51,0,1
43050000,Pulley Crossbow,55,0,1
8500000,Putrescence Cleaver,19,0,1
6500000,Queelign's Greatsword,16,2,0
44500000,Rabbath's Cannon,56,0,1
66520000,Rakshasa's Great Katana,94,0,1
5020000,Rapier,15,2,0
22030000,Raptor Talons,37,2,0
68510000,Red Bear's Claw,95,0,1
40020000,Red Branch Shortbow,50,2,0
31290000,Red Crest Heater Shield,67,2,0
30070000,Red Thorn Roundshield,65,2,0
32230000,Redmane Greatshield,69,2,0
1040000,Reduvia,1,0,1
2220000,Regalia of Eochaid,3,0,1
67520000,Rellana's Twin Blades,93,0,1
43500000,Repeating Crossbow,55,0,1
30030000,Rickety Shield,65,2,0
30110000,Rift Shield,65,2,0
11130000,Ringed Finger,21,0,1
14050000,Ripple Blade,17,0,0
18060000,Ripple Crescent Halberd,29,0,0
9040000,Rivers of Blood,13,0,1
30090000,Riveted Wooden Shield,65,2,0
5030000,Rogier's Rapier,15,2,0
14120000,Rosus' Axe,17,0,1
12210000,Rotten Battle Hammer,23,2,0
16160000,Rotten Crystal Spear,25,0,1
33270000,Rotten Crystal Staff,57,0,1
2260000,Rotten Crystal Sword,3,0,1
23150000,Rotten Greataxe,41,2,0
23140000,Rotten Staff,41,0,1
31070000,Round Shield,67,2,0
4060000,Royal Greatsword,7,0,1
4080000,Ruins Greatsword,7,0,1
15060000,Rusted Anchor,19,2,0
3100000,Sacred Relic Sword,5,0,1
14110000,Sacrificial Axe,17,2,0
7080000,Scavenger's Curved Sword,9,2,0
11110000,Scepter of the All-Knowing,21,0,1
7140000,Scimitar,9,2,0
31080000,Scorpion Kite Shield,67,2,0
1080000,Scorpion's Stinger,1,0,1
30080000,Scripture Wooden Shield,65,2,0
19000000,Scythe,31,2,0
24070000,Sentry's Torch,87,0,1
41040000,Serpent Bow,51,0,1
31520000,Serpent Crest Shield,67,2,0
13500000,Serpent Flail,24,0,1
9080000,Serpentbone Blade,13,0,0
7110000,Serpent-God's Curved Sword,9,2,0
17030000,Serpent-Hunter,28,0,1
23510000,Shadow Sunflower Blossom,41,0,1
7030000,Shamshir,9,2,0
21550000,Shield of Night,65,0,1
31170000,Shield of the Guilty,65,2,0
16000000,Short Spear,25,2,0
2010000,Short Sword,3,2,0
40000000,Shortbow,50,2,0
7020000,Shotel,9,2,0
17020000,Siluria's Tree,28,0,1
31060000,Silver Mirrorshield,67,0,1
14500000,Smithscript Axe,17,2,0
64510000,Smithscript Cirque,92,2,0
63500000,Smithscript Dagger,91,2,0
12500000,Smithscript Greathammer,23,2,0
30510000,Smithscript Shield,65,0,0
16500000,Smithscript Spear,25,2,0
30150000,Smoldering Shield,65,0,0
43000000,Soldier's Crossbow,55,0,0
16010000,Spear,25,2,0
17500000,Spear of the Impaler,28,0,1
21010000,Spiked Caestus,35,2,0
11070000,Spiked Club,21,2,0
32170000,Spiked Palisade Shield,69,2,0
16140000,Spiked Spear,25,2,0
30190000,Spiralhorn Shield,65,2,0
34520000,Spiraltree Seal,61,0,0
18500000,Spirit Glaive,29,0,1
7500000,Spirit Sword,9,0,1
43510000,Spread Crossbow,55,0,0
24040000,St. Trina's Torch,87,0,1
33280000,Staff of Loss,57,2,0
23070000,Staff of the Avatar,41,0,1
33510000,Staff of the Great Beyond,57,0,1
33260000,Staff of the Guilty,57,2,0
21080000,Star Fist,35,2,0
2520000,Star-Lined Sword,13,0,1
4050000,Starscourge Greatsword,7,0,1
24020000,Steel-Wire Torch,87,0,0
11140000,Stone Club,21,2,0
2540000,Stone-Sheathed Sword,3,0,1
14140000,Stormhawk Axe,17,0,1
31050000,Sun Realm Shield,67,2,0
16520000,Swift Spear,25,2,0
3500000,Sword Lance,16,2,0
2560000,Sword of Darkness,3,0,1
2550000,Sword of Light,3,0,1
3160000,Sword of Milos,5,0,1
9500000,Sword of Night,13,0,1
2140000,Sword of Night and Flame,3,0,1
2190000,Sword of St. Trina,3,0,1
21500000,Thiollier's Hidden Needle,35,0,1
20020000,Thorned Whip,39,2,0
20500000,Tooth Whip,39,0,1
24000000,Torch,87,2,0
16080000,Torchpole,25,0,0
17070000,Treespear,28,0,0
4110000,Troll Knight's Sword,7,0,1
4030000,Troll's Golden Sword,7,2,0
23130000,Troll's Hammer,41,0,0
31090000,Twinbird Kite Shield,67,2,0
10000000,Twinblade,14,2,0
10030000,Twinned Knight Swords,14,2,0
9000000,Uchigatana,13,2,0
20070000,Urumi,39,2,0
11060000,Varré's Bouquet,21,0,1
2510000,Velvet Sword of St. Trina,3,0,1
22010000,Venomous Fang,37,2,0
32520000,Verdigris Greatshield,69,0,1
21120000,Veteran's Prosthesis,35,0,1
32160000,Visage Shield,69,0,1
18070000,Vulgar Militia Saw,29,2,0
18130000,Vulgar Militia Shotel,29,2,0
17050000,Vyke's War Spear,28,0,1
1100000,Wakizashi,1,2,0
2240000,Warhawk's Talon,3,2,0
15010000,Warped Axe,17,2,0
11040000,Warpick,21,2,0
4010000,Watchdog's Greatsword,7,2,0
23010000,Watchdog's Staff,41,0,1
2050000,Weathered Straight Sword,3,2,0
20000000,Whip,39,2,0
7070000,Wing of Astel,9,0,1
15110000,Winged Greathorn,19,0,1
19060000,Winged Scythe,31,0,1
31510000,Wolf Crest Shield,67,2,0
32290000,Wooden Greatshield,69,2,0
8050000,Zamor Curved Sword,11,0,1
4040000,Zweihander,7,2,0
